sample_id,record_id,sentence_index,thread_title,parent_context,sentence_text,human_has_quad,human_aspect,human_opinion,human_category_label,human_sentiment_label,human_quads_json,annotator
SAMPLE_0098,ocpwouc,3,You can do a lot with an old mobile gpu these days,"You can remove latency by switching to something like KittenTTS and Qwen3.5B. Quality drops, but then it would much better speeds.",Tryna build C3PO,,,,,,,annotator_2
SAMPLE_0127,nju6zeq,3,Nvidia dgx spark a nonsponsored review strix halo,Great video. So Strix vs Spark is essentially the same for inference wrt speed. Would be interested to see how each compares with a large initial prompt/large context,"so it's basically about even now btw, matches about where it should be based on MBW)",,,,,,,annotator_2
SAMPLE_0208,nk189xd,0,Seeking for a uncensored nsfw dutch language,,"I found that one: geitje-7b-chat or geitje-7b-ultra, both in GGuf formats and both are in Dutch language.",,,,,,,annotator_2
SAMPLE_0106,odbudzo,0,Running my own llm as a beginner quick check on,,"The 3B model for daily tasks and 9B for deeper work makes sense, though you'll hit the speed wall on cpu-only inference pretty quick once you're actually using them.",,,,,,,annotator_2
SAMPLE_0182,mz18f8h,0,From archfunction to archagent designed for fast,,"If you do, I’ll spend my own money to train a German Qwen or Mistral-Small based agent LLM so that German devs can finally catch up! 💪",,,,,,,annotator_2
SAMPLE_0118,o9ubx40,0,Deepseek v4 why no nvidia required actually,,The point is that V4 supposedly isn’t tightly tied to CUDA/NVIDIA.,,,,,,,annotator_2
SAMPLE_0251,o45obbb,0,Release experimental model with subquadratic,"Noted, one of the next steps for us is to perform a comprehensive evaluation and context [arena.ai]( is definitely considered. In terms of context length, we chose Nemotron 3 Nano 30B because of its efficient KV cache implementation. Right now it is about 6GB per 1M tokens.",I'll try to test it on [familybench]( a long context reasoning benchmark,,,,,,,annotator_2
SAMPLE_0153,oabwzwd,0,Suggestions for inline suggestions like,,"I don't think autocomplete is annoying, but the trade-off there is that the auto-complete models are geared for speed, but are not smart.",,,,,,,annotator_2
SAMPLE_0179,mvmqwyn,0,Smallest llm you tried thats legit,,There are some caveats of course I'm kinda tempted to try it and see if input/output really do match over a large file,,,,,,,annotator_2
SAMPLE_0141,o5uq6mn,0,Qwen 35 goes bankrupt on vendingbench 2,At this point. They should just concede and do what their best at now. Image and video models. GLM clearly have it in the bag for LLM but especially video models there's nothing even remotely close to sora2 or seedance2 for open weights.,"It seems like the delta gated linear attention component is affecting the performance noticeably, because qwen 3 vl didn't have this...",,,,,,,annotator_2
SAMPLE_0018,myrxih1,5,Mac studio m3 ultra 256gb vs 1x 5090,I have run r1 with exl1.6 locally and full fidelity online. You are really mistaken in your requirements. What is need to replace online with local 1. Cost for coding. I can tell you are not a coder 2. RP etc. You can either jailbreak online or dense 32b local models also work,"Tell me what I should do instead, if you're really such a genius?",,,,,,,annotator_2
SAMPLE_0266,nl4bqcz,0,Is openai afraid of kimi,,I suspect that they train on a lot of copyrighted books to have such good creative writing skills.,,,,,,,annotator_2
SAMPLE_0243,n7hqsor,1,Gpt 5 pricing,Oh wow gpt-5 mini is cheaper than gemini 2.5 flash (but less context window ofc). I wonder how good it is compared to flash.,If it has ANY reasonable intelligence and speed it will be great for just throwing any random task at it,,,,,,,annotator_2
SAMPLE_0088,nvsslqa,5,Deepseek will release a larger model next year,,There’s a lot more training to be done.,,,,,,,annotator_2
