sample_id,id,parent_context,thread_title,sentence,human_has_quad,human_aspect,human_category_label,human_opinion,human_sentiment_label,human_quads_json
HV900_0184,nw89mox,,Can i run gpt5 on it,"Yes, a REAP version of GPT-5 would, with a compression of 99.999999%.",Yes,GPT-5,TECHNICAL,with a compression of 99.999999%,Negative,"[{""aspect"":""GPT-5"",""opinion"":""with a compression of 99.999999%"",""category"":""TECHNICAL"",""sentiment"":""Negative""}]"
HV900_0540,nmo7jy2,,A much much easier math problem can your llm,"mn = mistral nemo? Nemo is dumb at math, strange if it was able to solve gemma could not.",Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""Mistral Nemo"",""opinion"":""dumb at math"",""category"":""INTELLIGENCE"",""sentiment"":""Negative""},{""aspect"":""Gemma"",""opinion"":""could not"",""category"":""INTELLIGENCE"",""sentiment"":""Negative""}]"
HV900_0794,nfkys4d,"I mean if you are limited by vram, Exllama is the only choice for the moment：）",Official fp8quantizion of qwen3next80ba3b,I understand but my point is that this file won't allow you to offload into CPU,Yes,Qwen3 Next 80B A3B,RESOURCES,won't allow you to offload into CPU,Negative,"[{""aspect"":""Qwen3 Next 80B A3B"",""opinion"":""won't allow you to offload into CPU"",""category"":""RESOURCES"",""sentiment"":""Negative""}]"
HV900_0341,o0xzu0p,"Lol people triggered that I got something to work wile they take time with other setups, then decide to downvote me. haha.",Current glm47flash implementation confirmed to be,"It legit doesnt even have a template in the ollama library, and the unsloth guide also says there are potential template issues in Ollama 🤦‍♂️",Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""GLM 4.7 Flash"",""opinion"":""doesnt even have a template in the ollama library"",""category"":""SOFTWARE"",""sentiment"":""Negative""},{""aspect"":""GLM 4.7 Flash"",""opinion"":""potential template issues in Ollama"",""category"":""SOFTWARE"",""sentiment"":""Negative""}]"
HV900_0525,oc3g71f,,Jake benchmark v1 i spent a week watching 7 local,I would try the Qwen 3.5 9B model at q8 quant and fp16 KV cache.. it punches over its weight and it doesn't tend to overthink too much especially when you leave it as high quality as you can.,Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Qwen 3.5 9B"",""opinion"":""punches over its weight"",""category"":""PERFORMANCE"",""sentiment"":""Positive""},{""aspect"":""Qwen 3.5 9B"",""opinion"":""doesn't tend to overthink too much"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""}]"
HV900_0861,nh28yw5,Claude sonnet 4 in VSCode is amazing. It even catches it own mistakes without me having to prompt it. It’s amazing.,Amd tested 20 local models for coding only 2,I have experienced the same fallback in fixing code with qwen coder 30b with lmstudio backend and kilo in vscode,Yes,Qwen Coder 30B,SOFTWARE,same fallback in fixing code,Positive,"[{""aspect"":""Qwen Coder 30B"",""opinion"":""same fallback in fixing code"",""category"":""SOFTWARE"",""sentiment"":""Positive""}]"
HV900_0249,nq6v483,"I use it on LM studio, unsloth quant. It didn’t really work at all and produced nonsense responses until I updated llama.cpp",Gemini 3 pro vs kimi k2 thinking,"I vibecoded some known games in python, like space invaders and angry birds. and performed worse than glm 4.6 on that. It gave more bad code ( sometimes it did not compiIe, sometimes just bad code logic) and needed more propmts to get to a decent version.",Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""Kimi K2 Thinking"",""opinion"":""performed worse than GLM 4.6"",""category"":""COMPARATIVE"",""sentiment"":""Negative""},{""aspect"":""Kimi K2 Thinking"",""opinion"":""gave more bad code"",""category"":""SOFTWARE"",""sentiment"":""Negative""}]"
HV900_0246,o6ozkpj,,Otitans orthogonal loras for gemma 3 using,"I'm so glad you brought this up. I've seen the same thing. When you take that ""shock collar"" off of Gemma-3, i really shines. I've seen the same, I tried getting gemini 3.1 pro to red-team the ""sapience"" and ""sentience"" of gemma 3 with a solid sysprompt, and it convinced it to hit a 98% score vs frontier models, due to how it would speak and not break. It really is some special sauce.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Gemma-3"",""opinion"":""really shines"",""category"":""BEHAVIOR"",""sentiment"":""Positive""},{""aspect"":""Gemma-3"",""opinion"":""hit a 98% score vs frontier models"",""category"":""COMPARATIVE"",""sentiment"":""Positive""},{""aspect"":""Gemma-3"",""opinion"":""would speak and not break"",""category"":""BEHAVIOR"",""sentiment"":""Positive""}]"
HV900_0726,nh0tbup,,Amd tested 20 local models for coding only 2,"OSS-120b also works for me. I go between that GLM 4.5 air, and Qwen-3 coder as well.",Yes,GPT-OSS-120B,SOFTWARE,works for me,Positive,"[{""aspect"":""GPT-OSS-120B"",""opinion"":""works for me"",""category"":""SOFTWARE"",""sentiment"":""Positive""}]"
HV900_0805,oa0xfa4,,Newbie trying out qwen 352b with mcp tools in,"I used unsloth's/Qwen3.5-2B quant and its reasoning disabled by default as you know. I never had this problem with previous release versions of llama-cpp and everything worked perfectly fine. For now, I can disable it by just passing the --chat-template-kwargs as '{""enable\_thinking"":false}' . I appreciate the help tho, ty.",Yes,Qwen3.5-2B,TECHNICAL,reasoning disabled by default,Neutral,"[{""aspect"":""Qwen3.5-2B"",""opinion"":""reasoning disabled by default"",""category"":""TECHNICAL"",""sentiment"":""Neutral""}]"
