row_id,ai_tools,aspect,sentiment,review_text,argument,tokens_json,bio_tags_json,matched_terms_json,span_count,tag_status
0,Microsoft Copilot,Content,Positive,"Text interaction works best. Speech-based interaction is likely to have hallucinations, network-related conversation resets, and overall glitchy experience. It does a decent job of maintaining context in follow-up questions. However, it sometimes lacks conviction and can be made to flip-flop if you counter it confidently.",Text interaction works best.,"[""Text"", ""interaction"", ""works"", ""best"", ""."", ""Speech-based"", ""interaction"", ""is"", ""likely"", ""to"", ""have"", ""hallucinations"", "","", ""network-related"", ""conversation"", ""resets"", "","", ""and"", ""overall"", ""glitchy"", ""experience"", ""."", ""It"", ""does"", ""a"", ""decent"", ""job"", ""of"", ""maintaining"", ""context"", ""in"", ""follow-up"", ""questions"", ""."", ""However"", "","", ""it"", ""sometimes"", ""lacks"", ""conviction"", ""and"", ""can"", ""be"", ""made"", ""to"", ""flip-flop"", ""if"", ""you"", ""counter"", ""it"", ""confidently"", "".""]","[""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[""conversation"", ""interaction""]",3,matched
1,Microsoft Copilot,Accuracy,Negative,"Text interaction works best. Speech-based interaction is likely to have hallucinations, network-related conversation resets, and overall glitchy experience. It does a decent job of maintaining context in follow-up questions. However, it sometimes lacks conviction and can be made to flip-flop if you counter it confidently.",Speech-based interaction is likely to have hallucinations.,"[""Text"", ""interaction"", ""works"", ""best"", ""."", ""Speech-based"", ""interaction"", ""is"", ""likely"", ""to"", ""have"", ""hallucinations"", "","", ""network-related"", ""conversation"", ""resets"", "","", ""and"", ""overall"", ""glitchy"", ""experience"", ""."", ""It"", ""does"", ""a"", ""decent"", ""job"", ""of"", ""maintaining"", ""context"", ""in"", ""follow-up"", ""questions"", ""."", ""However"", "","", ""it"", ""sometimes"", ""lacks"", ""conviction"", ""and"", ""can"", ""be"", ""made"", ""to"", ""flip-flop"", ""if"", ""you"", ""counter"", ""it"", ""confidently"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[""hallucinations""]",1,matched
2,Microsoft Copilot,Emotional Intelligence,Negative,"Text interaction works best. Speech-based interaction is likely to have hallucinations, network-related conversation resets, and overall glitchy experience. It does a decent job of maintaining context in follow-up questions. However, it sometimes lacks conviction and can be made to flip-flop if you counter it confidently.",It sometimes lacks conviction and can be made to flip-flop if you counter it confidently.,"[""Text"", ""interaction"", ""works"", ""best"", ""."", ""Speech-based"", ""interaction"", ""is"", ""likely"", ""to"", ""have"", ""hallucinations"", "","", ""network-related"", ""conversation"", ""resets"", "","", ""and"", ""overall"", ""glitchy"", ""experience"", ""."", ""It"", ""does"", ""a"", ""decent"", ""job"", ""of"", ""maintaining"", ""context"", ""in"", ""follow-up"", ""questions"", ""."", ""However"", "","", ""it"", ""sometimes"", ""lacks"", ""conviction"", ""and"", ""can"", ""be"", ""made"", ""to"", ""flip-flop"", ""if"", ""you"", ""counter"", ""it"", ""confidently"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[""conviction"", ""flip-flop""]",2,matched
3,Microsoft Copilot,UI (User Interface),Negative,"Text interaction works best. Speech-based interaction is likely to have hallucinations, network-related conversation resets, and overall glitchy experience. It does a decent job of maintaining context in follow-up questions. However, it sometimes lacks conviction and can be made to flip-flop if you counter it confidently.",Overall glitchy experience.,"[""Text"", ""interaction"", ""works"", ""best"", ""."", ""Speech-based"", ""interaction"", ""is"", ""likely"", ""to"", ""have"", ""hallucinations"", "","", ""network-related"", ""conversation"", ""resets"", "","", ""and"", ""overall"", ""glitchy"", ""experience"", ""."", ""It"", ""does"", ""a"", ""decent"", ""job"", ""of"", ""maintaining"", ""context"", ""in"", ""follow-up"", ""questions"", ""."", ""However"", "","", ""it"", ""sometimes"", ""lacks"", ""conviction"", ""and"", ""can"", ""be"", ""made"", ""to"", ""flip-flop"", ""if"", ""you"", ""counter"", ""it"", ""confidently"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[""experience"", ""glitchy""]",2,matched
4,Chatgpt,Accuracy,Negative,"It gives wrong information repeatedly .I followed its steps, but the results were incorrect. It mixes up facts and gives inaccurate explanations. When analyzing my workouts, it gave wrong calculations and false conclusions.",It gives wrong information repeatedly.,"[""It"", ""gives"", ""wrong"", ""information"", ""repeatedly"", ""."", ""I"", ""followed"", ""its"", ""steps"", "","", ""but"", ""the"", ""results"", ""were"", ""incorrect"", ""."", ""It"", ""mixes"", ""up"", ""facts"", ""and"", ""gives"", ""inaccurate"", ""explanations"", ""."", ""When"", ""analyzing"", ""my"", ""workouts"", "","", ""it"", ""gave"", ""wrong"", ""calculations"", ""and"", ""false"", ""conclusions"", "".""]","[""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""B-ASP"", ""O"", ""B-ASP"", ""O"", ""O""]","[""calculations"", ""facts"", ""false"", ""inaccurate"", ""incorrect"", ""wrong""]",7,matched
5,Chatgpt,Accuracy,Negative,"It gives wrong information repeatedly .I followed its steps, but the results were incorrect. It mixes up facts and gives inaccurate explanations. When analyzing my workouts, it gave wrong calculations and false conclusions.","I followed its steps, but the results were incorrect.","[""It"", ""gives"", ""wrong"", ""information"", ""repeatedly"", ""."", ""I"", ""followed"", ""its"", ""steps"", "","", ""but"", ""the"", ""results"", ""were"", ""incorrect"", ""."", ""It"", ""mixes"", ""up"", ""facts"", ""and"", ""gives"", ""inaccurate"", ""explanations"", ""."", ""When"", ""analyzing"", ""my"", ""workouts"", "","", ""it"", ""gave"", ""wrong"", ""calculations"", ""and"", ""false"", ""conclusions"", "".""]","[""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""B-ASP"", ""O"", ""B-ASP"", ""O"", ""O""]","[""calculations"", ""facts"", ""false"", ""inaccurate"", ""incorrect"", ""wrong""]",7,matched
6,Chatgpt,Update,Negative,"I'm extremely frustrated. I'm not getting the value I expected, even after paying for the subscription. And since the newest update, the experience has been awful. I'm going to cancel my subscription.","And since the newest update, the experience has been awful.","[""I'm"", ""extremely"", ""frustrated"", ""."", ""I'm"", ""not"", ""getting"", ""the"", ""value"", ""I"", ""expected"", "","", ""even"", ""after"", ""paying"", ""for"", ""the"", ""subscription"", ""."", ""And"", ""since"", ""the"", ""newest"", ""update"", "","", ""the"", ""experience"", ""has"", ""been"", ""awful"", ""."", ""I'm"", ""going"", ""to"", ""cancel"", ""my"", ""subscription"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""I-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[""newest update"", ""update""]",1,matched
7,Chatgpt,Subscription,Negative,"I'm extremely frustrated. I'm not getting the value I expected, even after paying for the subscription. And since the newest update, the experience has been awful. I'm going to cancel my subscription.","I'm not getting the value I expected, even after paying for the subscription.","[""I'm"", ""extremely"", ""frustrated"", ""."", ""I'm"", ""not"", ""getting"", ""the"", ""value"", ""I"", ""expected"", "","", ""even"", ""after"", ""paying"", ""for"", ""the"", ""subscription"", ""."", ""And"", ""since"", ""the"", ""newest"", ""update"", "","", ""the"", ""experience"", ""has"", ""been"", ""awful"", ""."", ""I'm"", ""going"", ""to"", ""cancel"", ""my"", ""subscription"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""B-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-ASP"", ""O""]","[""paying"", ""subscription"", ""value""]",4,matched
8,Deepseek,Update,Negative,"After the last update, some features feel a little confusing and harder to find. Not broken, just inconvenient.","After the last update, some features feel a little confusing and harder to find.","[""After"", ""the"", ""last"", ""update"", "","", ""some"", ""features"", ""feel"", ""a"", ""little"", ""confusing"", ""and"", ""harder"", ""to"", ""find"", ""."", ""Not"", ""broken"", "","", ""just"", ""inconvenient"", "".""]","[""O"", ""O"", ""B-ASP"", ""I-ASP"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[""last update"", ""update""]",1,matched
9,Microsoft Copilot,Content,Positive,"It's an excellent app, and Copilot is just a miracle of science. It is so human and so friendly that I have no words. Besides, it helps me choose a new laptop, it is also helping me choose a new perfect app for reading aloud my old PDF books, searching for new science news, or, on my Windows, helping me translate from foreign languages like Russian, English, or the old Polish language. Since I discovered Copilot, my life has changed.","It's an excellent app, and Copilot is just a miracle of science. It is so human and so friendly that I have no words.","[""It's"", ""an"", ""excellent"", ""app"", "","", ""and"", ""Copilot"", ""is"", ""just"", ""a"", ""miracle"", ""of"", ""science"", ""."", ""It"", ""is"", ""so"", ""human"", ""and"", ""so"", ""friendly"", ""that"", ""I"", ""have"", ""no"", ""words"", ""."", ""Besides"", "","", ""it"", ""helps"", ""me"", ""choose"", ""a"", ""new"", ""laptop"", "","", ""it"", ""is"", ""also"", ""helping"", ""me"", ""choose"", ""a"", ""new"", ""perfect"", ""app"", ""for"", ""reading"", ""aloud"", ""my"", ""old"", ""PDF"", ""books"", "","", ""searching"", ""for"", ""new"", ""science"", ""news"", "","", ""or"", "","", ""on"", ""my"", ""Windows"", "","", ""helping"", ""me"", ""translate"", ""from"", ""foreign"", ""languages"", ""like"", ""Russian"", "","", ""English"", "","", ""or"", ""the"", ""old"", ""Polish"", ""language"", ""."", ""Since"", ""I"", ""discovered"", ""Copilot"", "","", ""my"", ""life"", ""has"", ""changed"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],0,no_match
