sample_id,id,parent_context,thread_title,sentence,human_has_quad,human_aspect,human_category_label,human_opinion,human_sentiment_label,human_quads_json,notes
HV900_0033,n7he9h0,So **$1.250 / 1M tokens** for GPT-5 If its able to compete or outcompete **Claude Opus 4** at **$15 / MTok** this will be great for me as a coding assistant!,Gpt 5 pricing,I don’t know I would compare it to sonnet 4 not opus. Which sonnet 4 is $3 in and $15 out. So this is still like 50% cheaper than sonnet 4 if it can compete and not be a token hog,Yes,this,COMPARATIVE,still like 50% cheaper than sonnet 4,Positive,"[{""aspect"":""this"",""category"":""COMPARATIVE"",""opinion"":""still like 50% cheaper than sonnet 4"",""sentiment"":""Positive""}]",
HV900_0799,o7kc4ef,"Is there any connection between the hardware used for training and the hardware used for inference? I thought that once the training was done, you have a hardware-agnostic set of model weights that no longer has dependencies on the training stack.",Deepseek allows huawei early access to v4 update,"Things are getting a bit more complex than just the weights. Especially with new attention mechanisms, there are further steps that need to be part of the model architecture to be able to do inference. That's why sometimes it takes days/weeks for new model families to be supported in llama.cpp.",Yes,new model families,SOFTWARE,takes days/weeks for new model families to be supported in llama.cpp,Negative,"[{""aspect"":""new model families"",""category"":""SOFTWARE"",""opinion"":""takes days/weeks for new model families to be supported in llama.cpp"",""sentiment"":""Negative""}]",
HV900_0049,n600vou,,Qwen3 coder 30ba3b tomorrow,Sounds like we may have a decent coding model for the GPU poor. The old 30B A3B ran surprisingly well on CPU only.,Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""coding model"",""category"":""INTELLIGENCE"",""opinion"":""decent coding model"",""sentiment"":""Positive""},{""aspect"":""The old 30B A3B"",""category"":""PERFORMANCE"",""opinion"":""ran surprisingly well on CPU only"",""sentiment"":""Positive""}]",
HV900_0634,nc1krau,"The big Llama 4 (maverick) was never that bad, for vision it is still very strong. Particularly after fine tune as it is a bit janky.",Artificial analysis intelligence index now,"I like it personally, Llama 3.1 8B is my go-to model for fine tuning. I may switch to Gemma 3 though based on what I'm reading.",Yes,Llama 3.1 8B,TECHNICAL,my go-to model for fine tuning,Positive,"[{""aspect"":""Llama 3.1 8B"",""category"":""TECHNICAL"",""opinion"":""my go-to model for fine tuning"",""sentiment"":""Positive""}]",
HV900_0077,n7hejf2,I don’t know I would compare it to sonnet 4 not opus. Which sonnet 4 is $3 in and $15 out. So this is still like 50% cheaper than sonnet 4 if it can compete and not be a token hog,Gpt 5 pricing,Yea 50% cheaper is great though! We will reach a stage I feel where models will plateau and bring diminishing returns but the real king will be the ones which can provide the cheapest reasoning.,Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""models"",""opinion"":""will plateau and bring diminishing returns"",""category"":""INTELLIGENCE"",""sentiment"":""Negative""},{""aspect"":""the ones"",""opinion"":""provide the cheapest reasoning"",""category"":""RESOURCES"",""sentiment"":""Positive""}]",
HV900_0891,o2kqwht,"I don’t know, I haven’t tried it yet. I have the impression that Claude Code is still sending data to Anthropic. You can just use OpenCode with a cloud model (which is probably what 99% of people on this sub will do) if you want a “free alternative.” But my goal was to show a fully open source and fully local solution, which is what I expect this sub to be about.",Opencode llamacpp glm47 flash claude code at home,"Yes, sending telemetry is why I didn't try Claude Code until now. I want full local solutions, both the model and the framework. If opencode gives comparable results to claude code with glm-4.7 flash, this is the news I was waiting. Thanks for demonstrating what is possible with full open solutions.",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""Claude Code"",""category"":""SOFTWARE"",""opinion"":""sending telemetry"",""sentiment"":""Negative""},{""aspect"":""opencode"",""category"":""COMPARATIVE"",""opinion"":""gives comparable results to claude code with glm-4.7 flash"",""sentiment"":""Positive""},{""aspect"":""opencode"",""category"":""SOFTWARE"",""opinion"":""what is possible with full open solutions"",""sentiment"":""Positive""}]",
HV900_0404,nxevnkv,"Deepseek published a paper about how they make money despite having paper thin margins awhile ago. Also, think about this, China has a shitload of modded GPUs that have way more VRAM that they should, so imagine having a server nearly as powerful as a whole H100 cluster for so much cheaper.",How is cloud inference so cheap,Are you referring to this? It shows they have a cost profit margin of 545%,Yes,this,RESOURCES,cost profit margin of 545%,Neutral,"[{""aspect"":""this"",""category"":""RESOURCES"",""opinion"":""cost profit margin of 545%"",""sentiment"":""Neutral""}]",
HV900_0434,nfl52lg,"Multi-gpu is fine. What GPUs do you have? If Ampre, you cannot run it, because Ampre does not have FP8, only INT8.",Official fp8quantizion of qwen3next80ba3b,it will fallback to use the marlin kernel which allows loading fp8 models on ampere,Yes,it,TECHNICAL,fallback to use the marlin kernel which allows loading fp8 models on ampere,Positive,"[{""aspect"":""it"",""category"":""TECHNICAL"",""opinion"":""fallback to use the marlin kernel which allows loading fp8 models on ampere"",""sentiment"":""Positive""}]",
HV900_0358,n0rijyh,,With the openai employees that meta hired do you,LLama is dead after the next update - Meta said as much in their memo.,Yes,LLama,BEHAVIOR,is dead after the next update,Negative,"[{""aspect"":""LLama"",""category"":""BEHAVIOR"",""opinion"":""is dead after the next update"",""sentiment"":""Negative""}]",
HV900_0101,nmm65ua,,Best models for open ended text based role play,"Nova Llama is a finetune for this purpose from the AI dungeon people: [ They have also released some smaller models. Llama 3.1 Nemotron 70B seems to have been trained on this use case, since it tends to turn stories into choose-your-own-adventure books out of the box: [",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""Nova Llama"",""category"":""TECHNICAL"",""opinion"":""is a finetune for this purpose"",""sentiment"":""Neutral""},{""aspect"":""Llama 3.1 Nemotron 70B"",""category"":""TECHNICAL"",""opinion"":""seems to have been trained on this use case"",""sentiment"":""Positive""},{""aspect"":""Llama 3.1 Nemotron 70B"",""category"":""BEHAVIOR"",""opinion"":""tends to turn stories into choose-your-own-adventure books out of the box"",""sentiment"":""Positive""}]",
HV900_0614,nl88ucv,,Best fixedcost setup for continuous llm code,"Maybe I don’t understand your question but if you must have Claude or GPT level reasoning, why not, you know, use one of those.",Yes,Claude or GPT,INTELLIGENCE,Claude or GPT level reasoning,Positive,"[{""aspect"":""Claude or GPT"",""opinion"":""Claude or GPT level reasoning"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""}]",
HV900_0268,o8umph0,,Does having an rtx 6000 blackwell make any,"If you need a local coding agent, you have several great Qwen options.",Yes,Qwen,INTELLIGENCE,several great Qwen options,Positive,"[{""aspect"":""Qwen"",""category"":""INTELLIGENCE"",""opinion"":""several great Qwen options"",""sentiment"":""Positive""}]",
